2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:05:41 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 00:27:18 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 00:27:18 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 09:28:45 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 09:28:45 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 09:28:45 [main] INFO  MVC.Main.TradeController$ - Total trades executed = 5
2025-11-27 10:13:48 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:13:48 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 10:13:48 [main] INFO  MVC.Main.TradeController$ - result trade ()
2025-11-27 10:26:46 [main] INFO  MVC.Main.TradeController$ - result trade ()
2025-11-27 10:26:46 [main] INFO  MVC.Main.TradeController$ - result trade ()
2025-11-27 10:37:08 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:37:09 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 10:37:09 [main] INFO  MVC.Main.TradeController$ - result trade ()
2025-11-27 10:37:09 [main] INFO  MVC.Main.TradeController$ - result trade ()
2025-11-27 10:49:09 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 10:49:09 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 10:49:09 [main] INFO  MVC.Main.TradeController$ - result trade1 ()
2025-11-27 10:49:09 [main] INFO  MVC.Main.TradeController$ - result trade2 ()
2025-11-27 11:04:55 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 11:04:55 [main] INFO  MVC.Main.TradeController$ - Total rows inserted: 10
2025-11-27 11:05:58 [main] INFO  MVC.Main.TradeController$ - result trade1 ()
2025-11-27 11:05:58 [main] INFO  MVC.Main.TradeController$ - result trade2 ()
2025-11-27 13:01:53 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-27 13:01:53 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-27 13:01:53 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-27 13:01:53 [main] INFO  MVC.Config.DBConnection - connection established
2025-11-27 13:01:54 [main] INFO  MVC.Main.TradeController$ - total products inserted 5
2025-11-27 13:01:54 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 13:01:54 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 13:01:54 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 13:01:54 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 13:01:54 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 13:01:54 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 13:01:54 [main] INFO  MVC.Repository.OrderRepo - table is inserted
2025-11-27 13:01:54 [main] INFO  MVC.Repository.OrderRepo - table is inserted
